id,rdfs_label,name,b_type
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
